Year,Global_avg_temp_deg_C,Windspeed,SSHS,Num_hurricanes,Avg_tornado_mag,Num_tornado
1980,17.86942058,85.3247331,1.817615658,1124,0.738202,866
1981,17.91887713,83.19123932,1.694444444,936,0.94474,782
1982,17.84584015,85.03065134,1.821455939,1305,1.034653,1047
1983,18.10956089,88.69454545,2.029090909,1100,1.012229,930
1984,17.75924239,85.92353378,1.886414254,1347,0.886831,907
1985,17.69925917,83.46153846,1.710955711,1287,0.726644,684
1986,17.81795217,83.52219714,1.729872084,1329,0.796312,765
1987,18.09941175,88.08178439,2.022304833,1076,0.707428,656
1988,18.16562471,88.59276879,2.037107517,1051,0.802791,702
1989,18.10130522,88.30429212,1.999359385,1561,0.717014,856
1990,18.37557273,87.38295455,1.949431818,1760,0.849635,1133
1991,18.03109306,91.78382353,2.206617647,1360,0.621485,1132
1992,17.94403861,92.32344498,2.222966507,2090,0.654105,1297
1993,17.96485935,87.89430894,1.990391722,1353,0.557021,1172
1994,18.27841486,92.66910867,2.21978022,1638,0.500082,1082
1995,18.26852722,88.1348637,2.013629842,1394,0.454313,1237
1996,17.95340451,90.26948775,2.10467706,1796,0.519901,1173
1997,18.21514665,94.20232089,2.337537841,1982,0.57717,1148
1998,18.63425067,87.64635854,1.969887955,1428,0.502639,1424
1999,18.37285324,91.37875289,2.184757506,1299,0.595259,1339
2000,18.33408244,86.10176991,1.908554572,1356,0.539432,1075
2001,18.40824189,86.15715403,1.869429242,1279,0.512973,1215
2002,18.58600808,94.85419847,2.371755725,1310,0.522665,934
2003,18.51935283,93.50530786,2.293701345,1413,0.473954,1374
2004,18.4605123,95.96594245,2.454492073,1703,0.445133,1817
2005,18.52154342,93.97144711,2.336794289,1541,0.438865,1263
2006,18.57060782,92.09609375,2.1984375,1280,0.550389,1103
2007,18.67347057,92.01302605,2.203406814,998,0.584794,1095
2008,18.51103337,86.11574953,1.888994307,1054,0.561128,1689
2009,18.63233393,96.10059172,2.431952663,845,0.496596,1156
2010,18.77258944,90.4091858,2.145093946,958,0.58084,1281
2011,18.50545228,88.184375,1.99375,960,0.621107,1691
2012,18.55734704,87.77728483,1.976042591,1127,0.4982,938
2013,18.64175931,89.14013346,2.006673022,1049,0.61289,906
2014,18.81176203,93.53401899,2.294303797,1264,0.519476,886
2015,18.9727722,94.03626374,2.312637363,1820,0.503971,1177
2016,19.06073339,92.84307692,2.22,1300,0.584946,976
2017,18.92420666,88.59741459,1.984302862,1083,0.69457,1428
2018,18.95304769,94.92326139,2.354316547,1668,0.567276,1126
2019,19.12996188,93.51974156,2.284996411,1393,0.60109,1517
2020,19.11415222,88.77358491,1.996855346,954,0.598077,1082
2021,18.95375404,94.55668016,2.319838057,988,0.5932,1314
